accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac,speed
-0.072,-0.148,-9.654,-10.243,1.534,-0.036,-38.742,1208.89,-0.426,0.881,-0.156,3.075,-69.555,-708.841
-0.072,-0.148,-9.654,-10.243,1.534,-0.036,-38.731,1208.82,-0.426,0.881,-0.146,2.971,-69.522,-708.843
-0.005,-0.211,-9.64,-4.445,0.191,0.33,-38.73,1208.79,-0.028,1.252,-0.143,2.919,-69.502,-708.843
-0.005,-0.211,-9.64,-4.445,0.191,0.33,-38.729,1208.76,-0.028,1.252,-0.141,2.866,-69.483,-708.843
-0.005,-0.211,-9.64,-4.445,0.191,0.33,-38.727,1208.73,-0.028,1.252,-0.138,2.815,-69.464,-708.843
-0.048,-0.263,-9.659,0.682,-0.419,0.33,-38.731,1208.74,-0.284,1.562,-0.143,2.809,-69.455,-708.845
-0.048,-0.263,-9.659,0.682,-0.419,0.33,-38.734,1208.74,-0.284,1.562,-0.148,2.802,-69.446,-708.846
-0.048,-0.263,-9.659,0.682,-0.419,0.33,-38.737,1208.74,-0.284,1.562,-0.153,2.795,-69.438,-708.847
-0.158,-0.278,-9.759,3.002,-0.236,0.269,-38.738,1208.77,-0.927,1.63,-0.162,2.807,-66.498,-708.851
-0.158,-0.278,-9.759,3.002,-0.236,0.269,-38.74,1208.79,-0.927,1.63,-0.172,2.819,-66.493,-708.855
-0.158,-0.278,-9.759,3.002,-0.236,0.269,-38.742,1208.81,-0.927,1.63,-0.182,2.834,-66.49,-708.86
-0.196,-0.259,-9.85,0.988,0.008,0.269,-38.742,1208.82,-1.141,1.504,-0.191,2.829,-66.478,-708.865
-0.196,-0.259,-9.85,0.988,0.008,0.269,-38.742,1208.83,-1.141,1.504,-0.201,2.824,-66.466,-708.869
-0.249,-0.268,-9.903,-4.567,0.13,0.269,-38.741,1208.79,-1.44,1.551,-0.212,2.775,-66.432,-708.876
-0.249,-0.268,-9.903,-4.567,0.13,0.269,-38.74,1208.76,-1.44,1.551,-0.223,2.721,-66.396,-708.883
-0.249,-0.268,-9.903,-4.567,0.13,0.269,-38.739,1208.72,-1.44,1.551,-0.234,2.673,-66.362,-708.889
-0.206,-0.215,-9.898,-11.952,0.191,0.391,-38.737,1208.63,-1.191,1.247,-0.242,2.55,-66.298,-708.895
-0.206,-0.215,-9.898,-11.952,0.191,0.391,-38.736,1208.55,-1.191,1.247,-0.25,2.441,-66.24,-708.9
-0.206,-0.215,-9.898,-11.952,0.191,0.391,-38.735,1208.46,-1.191,1.247,-0.258,2.334,-66.182,-708.905
-0.101,-0.139,-9.836,-18.361,0.252,0.513,-38.733,1208.33,-0.586,0.809,-0.259,2.172,-66.105,-708.908
-0.101,-0.139,-9.836,-18.361,0.252,0.513,-38.731,1208.19,-0.586,0.809,-0.26,1.992,-66.019,-708.911
-0.101,-0.139,-9.836,-18.361,0.252,0.513,-38.729,1208.06,-0.586,0.809,-0.261,1.833,-65.942,-708.913
-0.12,-0.115,-9.687,-21.718,0.313,0.513,-38.727,1207.91,-0.708,0.68,-0.263,1.649,-65.852,-708.916
-0.12,-0.115,-9.687,-21.718,0.313,0.513,-38.725,1207.75,-0.708,0.68,-0.265,1.466,-65.761,-708.919
-0.038,-0.024,-9.692,-22.023,0.557,0.452,-38.721,1207.6,-0.226,0.142,-0.26,1.277,-67.202,-708.92
-0.038,-0.024,-9.692,-22.023,0.557,0.452,-38.717,1207.45,-0.226,0.142,-0.256,1.09,-67.116,-708.921
-0.038,-0.024,-9.692,-22.023,0.557,0.452,-38.713,1207.29,-0.226,0.142,-0.251,0.905,-67.03,-708.922
-0.077,0.105,-9.716,-21.291,0.741,0.391,-38.707,1207.12,-0.452,-0.621,-0.246,0.696,-66.931,-708.925
-0.077,0.105,-9.716,-21.291,0.741,0.391,-38.702,1206.97,-0.452,-0.621,-0.242,0.513,-66.843,-708.927
-0.077,0.105,-9.716,-21.291,0.741,0.391,-38.697,1206.82,-0.452,-0.621,-0.239,0.332,-66.755,-708.928
-0.206,0.125,-9.63,-20.863,0.741,0.391,-38.691,1206.68,-1.225,-0.741,-0.243,0.155,-66.659,-708.934
-0.206,0.125,-9.63,-20.863,0.741,0.391,-38.686,1206.53,-1.225,-0.741,-0.246,-0.02,-66.563,-708.939
-0.206,0.125,-9.63,-20.863,0.741,0.391,-38.681,1206.38,-1.225,-0.741,-0.25,-0.193,-66.467,-708.944
-0.086,0.177,-9.683,-19.643,0.802,0.391,-38.675,1206.25,-0.51,-1.048,-0.247,-0.358,-66.384,-708.946
-0.086,0.177,-9.683,-19.643,0.802,0.391,-38.67,1206.11,-0.51,-1.048,-0.243,-0.522,-66.302,-708.948
-0.086,0.177,-9.683,-19.643,0.802,0.391,-38.664,1205.97,-0.51,-1.048,-0.239,-0.684,-66.219,-708.951
-0.062,0.292,-9.63,-16.469,0.619,0.33,-38.66,1205.86,-0.37,-1.737,-0.235,-0.825,-66.146,-708.952
-0.062,0.292,-9.63,-16.469,0.619,0.33,-38.656,1205.74,-0.37,-1.737,-0.232,-0.966,-66.074,-708.954
-0.014,0.316,-9.587,-11.708,0.374,0.391,-38.653,1205.66,-0.086,-1.888,-0.227,-1.068,-66.023,-708.954
-0.014,0.316,-9.587,-11.708,0.374,0.391,-38.65,1205.58,-0.086,-1.888,-0.223,-1.17,-65.972,-708.955
-0.014,0.316,-9.587,-11.708,0.374,0.391,-38.648,1205.5,-0.086,-1.888,-0.219,-1.27,-65.921,-708.955
-0.048,0.345,-9.616,-5.665,0.252,0.33,-38.646,1205.46,-0.285,-2.054,-0.217,-1.323,-65.452,-708.956
-0.048,0.345,-9.616,-5.665,0.252,0.33,-38.644,1205.42,-0.285,-2.054,-0.216,-1.369,-65.429,-708.957
-0.048,0.345,-9.616,-5.665,0.252,0.33,-38.643,1205.38,-0.285,-2.054,-0.215,-1.421,-65.402,-708.958
-0.067,0.359,-9.577,0.743,0.374,0.269,-38.64,1205.39,-0.401,-2.148,-0.214,-1.424,-65.402,-708.96
-0.067,0.359,-9.577,0.743,0.374,0.269,-38.638,1205.39,-0.401,-2.148,-0.214,-1.426,-65.402,-708.961
-0.067,0.359,-9.577,0.743,0.374,0.269,-38.636,1205.4,-0.401,-2.148,-0.212,-1.427,-65.402,-708.963
-0.086,0.316,-9.711,4.65,0.741,0.269,-38.63,1205.43,-0.508,-1.864,-0.21,-1.394,-65.423,-708.965
-0.086,0.316,-9.711,4.65,0.741,0.269,-38.625,1205.46,-0.508,-1.864,-0.207,-1.362,-65.444,-708.967
-0.086,0.316,-9.711,4.65,0.741,0.269,-38.62,1205.49,-0.508,-1.864,-0.204,-1.33,-65.465,-708.97
-0.086,0.292,-9.783,4.772,0.802,0.208,-38.614,1205.53,-0.505,-1.71,-0.2,-1.296,-65.487,-708.972
-0.086,0.292,-9.783,4.772,0.802,0.208,-38.609,1205.56,-0.505,-1.71,-0.197,-1.262,-65.509,-708.974
-0.086,0.292,-9.783,4.772,0.802,0.208,-38.603,1205.6,-0.505,-1.71,-0.194,-1.228,-65.531,-708.976
-0.057,0.278,-9.774,3.917,0.557,0.147,-38.599,1205.62,-0.337,-1.628,-0.191,-1.201,-65.549,-708.978
-0.057,0.278,-9.774,3.917,0.557,0.147,-38.595,1205.65,-0.337,-1.628,-0.188,-1.174,-65.567,-708.979
-0.057,0.278,-9.774,3.917,0.557,0.147,-38.591,1205.68,-0.337,-1.628,-0.185,-1.147,-65.585,-708.98
-0.086,0.278,-9.798,3.49,0.252,0.208,-38.59,1205.7,-0.504,-1.624,-0.186,-1.124,-65.596,-708.983
-0.086,0.278,-9.798,3.49,0.252,0.208,-38.588,1205.73,-0.504,-1.624,-0.187,-1.101,-65.606,-708.985
-0.101,0.225,-9.759,2.208,-0.053,0.147,-38.588,1205.74,-0.59,-1.321,-0.192,-1.086,-65.609,-708.987
-0.101,0.225,-9.759,2.208,-0.053,0.147,-38.589,1205.76,-0.59,-1.321,-0.196,-1.071,-65.612,-708.99
-0.101,0.225,-9.759,2.208,-0.053,0.147,-38.589,1205.77,-0.59,-1.321,-0.2,-1.056,-65.615,-708.992
-0.053,0.254,-9.726,0.499,-0.114,0.208,-38.59,1205.78,-0.31,-1.495,-0.202,-1.056,-66.072,-708.994
-0.053,0.254,-9.726,0.499,-0.114,0.208,-38.591,1205.78,-0.31,-1.495,-0.204,-1.056,-66.069,-708.995
-0.053,0.254,-9.726,0.499,-0.114,0.208,-38.592,1205.78,-0.31,-1.495,-0.206,-1.056,-66.066,-708.997
-0.072,0.244,-9.616,1.903,-0.358,0.208,-38.594,1205.8,-0.428,-1.455,-0.211,-1.045,-66.066,-708.998
-0.072,0.244,-9.616,1.903,-0.358,0.208,-38.597,1205.81,-0.428,-1.455,-0.217,-1.032,-66.067,-709
