accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac,speed
8.869,5.78,-8.236,-11.086,-24.171,17.669,-501.496,-807.454,41.392,-35.059,-26.462,-39.82,146.457,-154.203
8.869,5.78,-8.236,-11.086,-24.171,17.669,-501.665,-807.532,41.392,-35.059,-25.976,-39.861,146.527,-153.98
-2.581,1.724,-10.794,-24.514,-25.33,18.828,-501.842,-807.704,-13.286,-9.074,-26.051,-39.748,132.99,-154.045
-2.581,1.724,-10.794,-24.514,-25.33,18.828,-501.994,-807.851,-13.286,-9.074,-26.097,-39.609,132.955,-154.101
-2.581,1.724,-10.794,-24.514,-25.33,18.828,-502.172,-808.022,-13.286,-9.074,-26.17,-39.499,132.913,-154.166
0.153,1.111,-10.08,-50.759,-26.49,16.631,-502.357,-808.378,0.866,-6.289,-26.111,-39.571,132.945,-154.162
0.153,1.111,-10.08,-50.759,-26.49,16.631,-502.542,-808.733,0.866,-6.289,-26.052,-39.643,132.976,-154.158
-2.078,4.626,-10.535,-62.234,-27.039,19.622,-502.732,-809.168,-10.239,-23.706,-26.11,-39.98,132.998,-154.21
-2.078,4.626,-10.535,-62.234,-27.039,19.622,-502.921,-809.604,-10.239,-23.706,-26.167,-40.313,133.021,-154.263
-2.078,4.626,-10.535,-62.234,-27.039,19.622,-503.11,-810.04,-10.239,-23.706,-26.223,-40.643,133.044,-154.315
4.046,8.749,-7.681,-79.507,-29.359,21.514,-503.316,-810.596,19.166,-48.719,-26.003,-41.357,133.222,-154.213
4.046,8.749,-7.681,-79.507,-29.359,21.514,-503.521,-811.153,19.166,-48.719,-25.785,-42.064,133.398,-154.111
4.046,8.749,-7.681,-79.507,-29.359,21.514,-503.727,-811.709,19.166,-48.719,-25.57,-42.765,133.572,-154.009
13.265,-4.731,-12.221,-77.92,-29.053,27.19,-503.959,-812.333,45.348,21.164,-25.125,-42.835,133.728,-153.627
13.265,-4.731,-12.221,-77.92,-29.053,27.19,-504.163,-812.878,45.348,21.164,-24.652,-42.816,133.879,-153.293
13.265,-4.731,-12.221,-77.92,-29.053,27.19,-504.366,-813.424,45.348,21.164,-24.183,-42.797,134.026,-152.959
5.301,3.256,-5.09,-75.906,-26.429,26.519,-504.551,-813.955,41.259,-32.607,-23.74,-43.3,134.229,-152.825
5.301,3.256,-5.09,-75.906,-26.429,26.519,-504.762,-814.562,41.259,-32.607,-23.33,-43.885,134.428,-152.672
5.301,3.256,-5.09,-75.906,-26.429,26.519,-504.947,-815.094,41.259,-32.607,-22.895,-44.377,134.619,-152.539
3.433,1.183,-8.96,-57.473,-26.551,28.777,-505.133,-815.496,20.803,-7.52,-22.67,-44.466,141.522,-152.452
3.433,1.183,-8.96,-57.473,-26.551,28.777,-505.319,-815.898,20.803,-7.52,-22.447,-44.555,141.607,-152.366
-4.109,-3.931,-11.967,-50.82,-27.1,28.716,-505.482,-816.203,-18.066,18.187,-22.588,-44.275,141.579,-152.454
-4.109,-3.931,-11.967,-50.82,-27.1,28.716,-505.671,-816.559,-18.066,18.187,-22.759,-44.055,141.531,-152.558
-4.109,-3.931,-11.967,-50.82,-27.1,28.716,-505.861,-816.915,-18.066,18.187,-22.928,-43.838,141.483,-152.661
-4.051,-0.182,-10.463,-55.581,-26.795,30.608,-506.049,-817.304,-21.163,0.996,-23.124,-43.832,141.397,-152.764
-4.051,-0.182,-10.463,-55.581,-26.795,30.608,-506.236,-817.693,-21.163,0.996,-23.318,-43.827,141.311,-152.866
