accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac
-0.249,-0.019,-9.793,-13.656,1.048,1.371,68.212,385.655,-1.457,0.112,-0.046,-0.364,-59.915
-0.249,-0.019,-9.793,-13.656,1.048,1.371,68.219,385.559,-1.457,0.112,-0.052,-0.473,-59.872
-0.249,-0.019,-9.793,-13.656,1.048,1.371,68.226,385.464,-1.457,0.112,-0.057,-0.581,-59.828
-0.316,0.038,-9.721,-15.304,1.231,1.371,68.235,385.357,-1.862,-0.226,-0.065,-0.704,-59.778
-0.316,0.038,-9.721,-15.304,1.231,1.371,68.244,385.25,-1.862,-0.226,-0.073,-0.827,-59.727
-0.316,0.038,-9.721,-15.304,1.231,1.371,68.251,385.158,-1.862,-0.226,-0.082,-0.93,-59.683
-0.374,0.091,-9.759,-17.623,1.414,1.249,68.261,385.034,-2.192,-0.534,-0.091,-1.073,-59.623
-0.374,0.091,-9.759,-17.623,1.414,1.249,68.269,384.929,-2.192,-0.534,-0.102,-1.193,-59.57
-0.374,0.091,-9.759,-17.623,1.414,1.249,68.279,384.805,-2.192,-0.534,-0.111,-1.333,-59.511
-0.34,0.144,-9.783,-20.064,1.475,1.188,68.29,384.665,-1.99,-0.841,-0.118,-1.495,-59.444
-0.34,0.144,-9.783,-20.064,1.475,1.188,68.299,384.544,-1.99,-0.841,-0.126,-1.631,-59.386
-0.421,0.206,-9.85,-22.079,1.414,1.188,68.31,384.368,-2.449,-1.198,-0.136,-1.837,-59.3
-0.421,0.206,-9.85,-22.079,1.414,1.188,68.32,384.213,-2.449,-1.198,-0.147,-2.014,-59.223
-0.421,0.206,-9.85,-22.079,1.414,1.188,68.33,384.059,-2.449,-1.198,-0.158,-2.189,-59.146
-0.541,0.297,-9.798,-24.154,1.353,1.005,68.339,383.89,-3.16,-1.736,-0.177,-2.386,-59.055
-0.541,0.297,-9.798,-24.154,1.353,1.005,68.349,383.721,-3.16,-1.736,-0.196,-2.58,-58.964
-0.541,0.297,-9.798,-24.154,1.353,1.005,68.358,383.552,-3.16,-1.736,-0.214,-2.772,-58.874
-0.177,0.402,-9.697,-24.703,1.17,1.066,68.365,383.403,-1.046,-2.375,-0.214,-2.945,-58.803
-0.177,0.402,-9.697,-24.703,1.17,1.066,68.372,383.255,-1.046,-2.375,-0.214,-3.115,-58.733
-0.177,0.402,-9.697,-24.703,1.17,1.066,68.381,383.057,-1.046,-2.375,-0.211,-3.342,-58.64
-0.23,0.508,-9.654,-23.788,0.986,1.127,68.387,382.915,-1.362,-3.01,-0.216,-3.509,-59.638
-0.23,0.508,-9.654,-23.788,0.986,1.127,68.394,382.748,-1.362,-3.01,-0.219,-3.701,-59.554
-0.23,0.508,-9.654,-23.788,0.986,1.127,68.401,382.582,-1.362,-3.01,-0.222,-3.892,-59.469
-0.101,0.613,-9.635,-21.59,0.803,1.31,68.406,382.452,-0.597,-3.64,-0.22,-4.044,-59.405
-0.101,0.613,-9.635,-21.59,0.803,1.31,68.412,382.301,-0.597,-3.64,-0.217,-4.219,-59.331
-0.101,0.613,-9.635,-21.59,0.803,1.31,68.417,382.15,-0.597,-3.64,-0.214,-4.393,-59.257
-0.053,0.642,-9.64,-18.416,0.742,1.371,68.422,382.039,-0.312,-3.808,-0.21,-4.518,-59.205
-0.053,0.642,-9.64,-18.416,0.742,1.371,68.427,381.911,-0.312,-3.808,-0.205,-4.664,-59.144
-0.053,0.642,-9.64,-18.416,0.742,1.371,68.432,381.782,-0.312,-3.808,-0.2,-4.809,-59.083
0.158,0.747,-9.553,-14.815,0.742,1.31,68.437,381.678,0.945,-4.471,-0.182,-4.929,-59.043
0.158,0.747,-9.553,-14.815,0.742,1.31,68.442,381.589,0.945,-4.471,-0.166,-5.03,-59.01
0.158,0.747,-9.553,-14.815,0.742,1.31,68.447,381.485,0.945,-4.471,-0.148,-5.147,-58.969
0.551,0.79,-9.558,-9.749,0.681,1.31,68.451,381.427,3.286,-4.726,-0.109,-5.213,-58.969
0.551,0.79,-9.558,-9.749,0.681,1.31,68.456,381.359,3.286,-4.726,-0.069,-5.289,-58.964
0.551,0.79,-9.558,-9.749,0.681,1.31,68.461,381.29,3.286,-4.726,-0.03,-5.364,-58.96
0.704,0.785,-9.515,-3.89,0.62,1.371,68.464,381.267,4.217,-4.718,0.017,-5.386,-58.985
0.704,0.785,-9.515,-3.89,0.62,1.371,68.469,381.24,4.217,-4.718,0.064,-5.411,-59.009
0.704,0.785,-9.515,-3.89,0.62,1.371,68.473,381.213,4.217,-4.718,0.11,-5.437,-59.033
0.527,0.742,-9.553,2.58,0.437,1.371,68.476,381.228,3.147,-4.443,0.144,-5.408,-60.314
0.527,0.742,-9.553,2.58,0.437,1.371,68.478,381.243,3.147,-4.443,0.177,-5.38,-60.354
0.527,0.742,-9.553,2.58,0.437,1.371,68.481,381.262,3.147,-4.443,0.21,-5.349,-60.395
-0.148,0.704,-9.663,6.12,0.681,1.494,68.485,381.298,-0.878,-4.166,0.204,-5.294,-60.416
-0.148,0.704,-9.663,6.12,0.681,1.494,68.49,381.341,-0.878,-4.166,0.199,-5.232,-60.44
-0.148,0.704,-9.663,6.12,0.681,1.494,68.494,381.378,-0.878,-4.166,0.193,-5.178,-60.46
-0.589,0.69,-9.798,4.228,1.109,1.433,68.502,381.407,-3.432,-4.026,0.166,-5.131,-60.459
-0.589,0.69,-9.798,4.228,1.109,1.433,68.51,381.437,-3.432,-4.026,0.14,-5.085,-60.459
-0.589,0.69,-9.798,4.228,1.109,1.433,68.516,381.462,-3.432,-4.026,0.112,-5.044,-60.455
-0.134,0.694,-9.778,1.054,1.231,1.433,68.525,381.47,-0.784,-4.062,0.113,-5.025,-60.464
-0.134,0.694,-9.778,1.054,1.231,1.433,68.532,381.476,-0.784,-4.062,0.113,-5.008,-60.472
-0.134,0.694,-9.778,1.054,1.231,1.433,68.541,381.483,-0.784,-4.062,0.114,-4.99,-60.481
-0.134,0.694,-9.778,1.054,1.231,1.433,68.548,381.49,-0.784,-4.062,0.114,-4.973,-60.489
0.235,0.704,-9.692,-0.289,1.231,1.494,68.557,381.488,1.383,-4.154,0.137,-4.967,-60.51
0.235,0.704,-9.692,-0.289,1.231,1.494,68.566,381.486,1.383,-4.154,0.159,-4.962,-60.531
0.235,0.704,-9.692,-0.289,1.231,1.494,68.573,381.484,1.383,-4.154,0.181,-4.956,-60.55
0.125,0.704,-9.711,0.444,0.925,1.555,68.579,381.487,0.733,-4.146,0.194,-4.944,-60.566
