accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac
-0.354,-0.46,-11.095,68.055,1.094,0.354,-164.996,716.291,-1.828,2.373,-1.66,0.777,-49.672
-0.354,-0.46,-11.095,68.055,1.094,0.354,-164.989,716.767,-1.828,2.373,-1.653,1.336,-49.948
-0.484,-0.215,-11.177,23.499,1.277,-0.684,-164.981,716.908,-2.477,1.105,-1.652,1.494,-50.024
-0.484,-0.215,-11.177,23.499,1.277,-0.684,-164.972,717.073,-2.477,1.105,-1.65,1.677,-50.112
-0.484,-0.215,-11.177,23.499,1.277,-0.684,-164.963,717.237,-2.477,1.105,-1.648,1.859,-50.199
-0.527,-0.345,-10.607,-16.053,0.239,-0.806,-164.962,717.125,-2.842,1.862,-1.658,1.731,-50.133
-0.527,-0.345,-10.607,-16.053,0.239,-0.806,-164.96,717.012,-2.842,1.862,-1.668,1.604,-50.068
-0.527,-0.345,-10.607,-16.053,0.239,-0.806,-164.958,716.9,-2.842,1.862,-1.678,1.479,-50.003
-0.776,-0.153,-9.51,-34.241,-0.798,-1.172,-164.963,716.694,-4.663,0.923,-1.713,1.239,-49.869
-0.776,-0.153,-9.51,-34.241,-0.798,-1.172,-164.968,716.489,-4.663,0.923,-1.748,1.002,-49.735
-0.776,-0.153,-9.51,-34.241,-0.798,-1.172,-164.973,716.249,-4.663,0.923,-1.784,0.729,-49.581
3.304,0.268,-9.395,-32.777,-0.554,-1.172,-164.977,716.02,19.369,-1.635,-1.577,0.444,-49.553
3.304,0.268,-9.395,-32.777,-0.554,-1.172,-164.981,715.823,19.369,-1.635,-1.371,0.199,-49.545
3.304,0.268,-9.395,-32.777,-0.554,-1.172,-164.984,715.594,19.369,-1.635,-1.168,-0.08,-49.519
4.64,0.263,-9.055,-18.921,-0.31,-0.196,-164.987,715.461,27.122,-1.666,-0.888,-0.247,-49.595
4.64,0.263,-9.055,-18.921,-0.31,-0.196,-164.989,715.329,27.122,-1.666,-0.61,-0.412,-49.671
4.64,0.263,-9.055,-18.921,-0.31,-0.196,-164.991,715.196,27.122,-1.666,-0.335,-0.575,-49.749
2.078,0.244,-8.974,1.16,-0.005,0.537,-164.991,715.205,13.035,-1.559,-0.202,-0.576,-49.836
2.078,0.244,-8.974,1.16,-0.005,0.537,-164.991,715.213,13.035,-1.559,-0.069,-0.576,-49.923
2.078,0.244,-8.974,1.16,-0.005,0.537,-164.991,715.22,13.035,-1.559,0.062,-0.578,-50.009
-1.039,0.153,-9.424,18.372,1.399,0.781,-164.981,715.348,-6.291,-0.932,0.009,-0.436,-50.054
-1.039,0.153,-9.424,18.372,1.399,0.781,-164.971,715.477,-6.291,-0.932,-0.042,-0.294,-50.097
-1.039,0.153,-9.424,18.372,1.399,0.781,-164.963,715.587,-6.291,-0.932,-0.095,-0.175,-50.128
